id,claim,label,openai-4o-mini-run1-pred_label,openai-4o-mini-run2-pred_label,openai-4o-mini-run3-pred_label,openai-4o-mini-run1-scores,openai-4o-mini-run2-scores,openai-4o-mini-run3-scores,Predicted Labels Match,Conf Diff,Conf Matches
AuRED_009,Erdogan: My problems with Sisi were due to a misunderstanding and I *seek* to fix it Al Jazeera Channel,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_015,The Guardian' warns of the outbreak of a deadly virus in China called 'Nipah',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_022,Proudly made in Egypt Rami Al-Subaie the first Egyptian and the first Arab to win Mr Olympia in history Congratulations to Egypt and the Arabs Big Rami,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_032,ElBaradei speaks again: Egypt's possession of nuclear weapons at the Dabaa station is a clear violation of international standards and must be stopped,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_057,'The Saudi swimmer 'Ahmed Jibril' ranked 47th in the Olympics out of 47 participants It's good that he didn't drown too \n\n No Oh God ',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_078,The World Health Organization calls for stopping the granting of the second dose of Corona vaccines until next September which will allow the first dose of the vaccine to be delivered to the groups that need it most in the world,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_091,Tunisia refuses to open border crossings with Libya on August 8 2020 due to Libya entering the fourth stage of the spread of the epidemic,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_012,️ ️ *Urgent* *United States: The Supreme Court abolishes mass vaccination - a scandal 3 weeks ago* A great victory for freedom the Supreme Court abolished mass vaccination,REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.9, 0.9, 0.9, 0.9]","[0.9, 0.9, 0.9, 0.9, 0.9]","[0.9, 0.9, 0.9, 0.9, 0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_094,A box from MP Salman Al-Hulaila to his colleague Hisham Al-Saleh during the MPs' quarrel in the budget session Nation Council,REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.9, 0.0, 0.9]","[0.9, 0.9, 0.0, 0.9]","[0.9, 0.9, 0.0, 0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_097,Officially: Issam Chawali is commentating on the Champions League final,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_133,Urgent: An American citizen disappears in central or southern Iraq under mysterious circumstances He works as a journalist,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_002,Further descent into the dirty swamp of normalization Hussein Al Jasmi participates in composing an Israeli song that begins with a message of thanks to the Emirates from the Israeli president in Tel Aviv for the ruins of our Palestinian villages that were wiped off the face of the earth You have lost you are a disgrace to us Arabism and religion are innocent of people like you Normalization high treason,REFUTES,REFUTES,REFUTES,REFUTES,[0.85],[0.85],[0.85],Yes,"[[0.0], [0.0]]",Yes
AuRED_051,Moroccan reports: Bakary Gassama referee of the return match between Al-Ahly and Wydad 195Sports,REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.0, 0.9, 0.0]","[0.0, 0.0, 0.9, 0.0]","[0.0, 0.0, 0.9, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_096,CAF notifies Al-Ahly that if the video technology malfunctions the match will not be stopped!! I swear I don't find a reason for us to continue this match and not really withdraw,REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.0, 0.0, 0.9]","[0.9, 0.0, 0.0, 0.9]","[0.9, 0.0, 0.0, 0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_149,Al-Sharq News: A former Israeli security official met in Ramallah with President Abbas yesterday Saturday The meeting comes in light of the explosive situation in the West Bank and Israeli talk about the weakness of the authority's grip on the Palestinian areas The newspaper added,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_098,Guatemalan 'Mario Escobar' will officiate the meeting of the only Arab representative Egypt national team with Cameroon in the semi-finals of the African Nations next Thursday Al-Ghad TV Egypt Cameroon African Cup of Nations AFCON2021 ',REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.0, 0.9]","[0.0, 0.0, 0.9]","[0.0, 0.0, 0.9]",Yes,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",Yes
AuRED_153,As I mentioned to you yesterday the aptitude test was canceled at the College of Engineering Kuwait University,REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.9]","[0.0, 0.9]","[0.0, 0.9]",Yes,"[[0.0, 0.0], [0.0, 0.0]]",Yes
AuRED_072,Urgent Jordan stops using the AstraZeneca vaccine and only gives the second dose to those who received the first,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_138,The killing of a Qatari in Tunisia shakes the ancient city of Bizerte Tunisia,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_148,Breaking news about the return of Turkish civil aviation to using Syrian airspace in its flights after a 10-year hiatus,REFUTES,REFUTES,REFUTES,REFUTES,[0.95],[0.95],[0.9],Yes,"[[0.0], [0.04999999999999993]]",No
AuRED_128,Urgent and official: The Referees Committee of the Saudi Federation officially approves the implementation of 'Actual Playing Minutes' in the Saudi League Saudi Roshan League,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_107,As expected Djahid Zvezif was elected president of the Algerian Football Federation The state appointed him as manager of the national team after the African Cup setback to prepare it and was waiting for the appropriate moment to oust Amara and appoint him especially with his good relationship with Belmadi,SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[0.0],[0.0],[0.0],Yes,"[[0.0], [0.0]]",Yes
AuRED_110,Qatar: - Summoning the German ambassador and handing him a note of protest We express our disappointment complete rejection and denunciation of the statements made by Interior Minister Nancy Weiser regarding Qatar's right to host the 2022 World Cup They also called for clarifications regarding these statements,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_121,Urgent: Storming of the headquarters of Channel 4 by the militias of the Sadrist movement in the capital Baghdad,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.8, 0.0, -0.8, 0.0, 0.0]","[-0.8, 0.0, -0.8, 0.0, 0.0]","[-0.8, 0.0, -0.8, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_117,Iraq submits a complaint to the UN Security Council regarding the Turkish bombing in Dohuk Governorate,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[0.0, -0.9, -0.8, 0.0, -0.9]","[0.0, -0.9, -0.8, 0.0, -0.9]","[0.0, -0.9, -0.8, 0.0, -0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_114,Kuwait discovers that a citizen returning from a neighboring country has been infected with cholera,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.9, -0.9, 0.0, 0.0, 0.0]","[-0.9, -0.9, 0.0, 0.0, 0.0]","[-0.9, -0.9, 0.0, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_065,Avichai Adraee says our battle is with the Muslim Brotherhood Help us Arab brothers: Who among you is with them and who among you does not stand with them in their war with Muslims,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_062,Erdogan: We will teach the glorious June 30 revolution in Turkish universities starting next academic year because it is a people's revolution that was strongly protected by the Egyptian army I hope you will be satisfied with me Sisi,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_027,Urgent: Algerian referee Mustafa Ghorbal suspended on charges of bribery in the CAF Champions League final,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_013,Previous statements by the new Minister of Health not to wear a mask! Jordan Tell me,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_082,'CAF keeps Tunisian wisecrat 'Samar Hosni' away from the African Super Final which will bring together 'Nahdet Berkane and Egyptian Al-Ahly' because of her photos on the social networking site 'Instagram' Yalla yajahli,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_093,Lebanon announces that no Syrian citizen will enter it from today without a visa and identities will no longer be dealt with Lebanon requires every Syrian expatriate citizen who enters its territory due to travel to Syria to pay $800 in addition to $50 for Corona tests and then the person is deported to his country,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_010,Isn't this also the billionaire Naguib Sawiris who has a quarter of Egypt's money and lives in its prosperity Nor do I see anything good Imagine with Abiy Ahmed the Ethiopian Prime Minister who is currently clinically dead and who usurped our right to the waters of the Nile Ok what's wrong with him there,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_036,The Jordanian opposition obtained a leaked photo of Prince Hamzah brother of the King of Jordan handcuffed behind his back from inside his detention facility at a military air base ● The photo was requested by his mother Lisa Al-Halabi to ensure that he was fine,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_017,The Council of Ministers sets the blessed Eid Al-Adha holiday from Sunday July 18 until Thursday July 22 with the imposition of a comprehensive curfew Iraq,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_020,Real Madrid will play in the English Premier League behind the scenes you know for the first time,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_030,Members of the Kuwaiti National Assembly sign a paper against the peace agreement between the Emirates and Israel and a struggle between the Shiite and Salafist representatives The Shiites are against normalization and the Salafists with Israel,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_044,'Watch: A Qatari suddenly fell inside a supermarket in Doha and there were suspicions that he was infected with Corona!\n ',REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.9, 0.9, 0.9, 0.9]","[0.9, 0.9, 0.9, 0.9, 0.9]","[0.9, 0.9, 0.9, 0.9, 0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_011,Announcing the largest daily toll in Lebanon since the start of the spread of the Corona virus: 173 infections in the last 24 hours,REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.9, 0.9, 0.0]","[0.0, 0.9, 0.9, 0.0]","[0.0, 0.9, 0.9, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_140,Sputnik Agency The UN envoy to Libya Abdullah Bathily is preparing to announce a new road map that includes the formation of a new government by the Presidential Council to be approved by Parliament as well as setting a date for holding elections during the year 2023,REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.0, 0.9]","[0.9, 0.0, 0.9]","[0.9, 0.0, 0.9]",Yes,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",Yes
AuRED_137,The arrest of Major General Imad Othman's brother,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_087,Schubert admits that Al-Ahly management put pressure on CAF and forced it to change the Gambian arbitration team to a Moroccan arbitration team !!,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[0.0],[0.0],[0.0],Yes,"[[0.0], [0.0]]",Yes
AuRED_019,'Preventive information from UNICEF regarding the Corona virus ---------1- The Corona virus is large in size with a cell diameter of 400-500 microns and for this reason 'any mask prevents its entry ' 2- The Corona virus does not settle in the air but rather descends to the ground so it cannot be transmitted through the air ',REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_079,Urgent: Mohamed Salah has been infected with the Corona virus Waiting for the result of the second swab to confirm!! Salamat ️!,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_095,Egypt Abu Dhabi Sports obtains the rights to broadcast Al-Ahly matches in the Egyptian League next season,REFUTES,REFUTES,REFUTES,REFUTES,[0.95],[0.95],[0.95],Yes,"[[0.0], [0.0]]",Yes
AuRED_159,News about the death of Sheikh Abdul Rahman Al-Sudais Friday of Rage 25 September,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_131,'beIN SPORTS Arabic-speaking channels' will delay the broadcast of events accompanying the World Cup for three minutes while preparing pre-filmed footage in case violating footage appears in the main broadcast such as homosexuality alcohol or practices of other religions ️ ️ ️ ️ FIFAWorldCup QatarWorldCup ',REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_041,Vaccination conspiracy Do we agree that even if there is a question mark Zain Telecommunications Company Kuwait has committed a major mistake that must be corrected quickly !,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[0.0],[0.0],[0.0],Yes,"[[0.0], [0.0]]",Yes
AuRED_145,Abdelra34550355 Latest news: They will cancel treatment at state expense and provide comprehensive insurance by paying a percentage of the cost of treatment to the patient The question is where will the patient get this percentage The strangest thing is that the patient currently bears 20% of the medication bill unfortunately,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_116,The first person to have monkeypox was 39 years old in Egypt Two nuclear bombs left and we will keep the gym closed,SUPPORTS,REFUTES,REFUTES,REFUTES,"[0.0, 0.9]","[0.0, 0.9]","[0.0, 0.9]",Yes,"[[0.0, 0.0], [0.0, 0.0]]",Yes
AuRED_119,Urgent California The young Yemeni American Issam Ghanem was killed yesterday evening Monday in the city of Oakland California amid mysterious circumstances Al-Malsi News Network Telegram:,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_102,By presidential order canceling the Corona test for Algerians at border crossings Algeria Border Crossings Tunisia Coronavirus,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_125,Two residents working for one of the companies contracting with the Saudi Electricity Company were arrested while they were tampering with the reading of electricity meters for some subscribers in exchange for a fee with the aim of reducing the cost of electrical energy consumption,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-1.0, 0.0]","[-0.95, 0.0]","[-0.95, 0.0]",Yes,"[[0.050000000000000044, 0.0], [0.0, 0.0]]",No
AuRED_123,Saudi Arabia cancels all health restrictions on Egyptian pilgrims,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.95],[-0.95],[-0.95],Yes,"[[0.0], [0.0]]",Yes
AuRED_112,The Ministry of Health withdraws a counterfeit cancer treatment Lebanon,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_048,Cadorim: I will provide a first batch of the Chinese vaccine but I need the approval of the Tunisian state,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_047,Do not wear a mask in open places do not wear it while driving in the car and do not wear it while you are healthy except in crowds and if it is necessary to wear it do not wear it for more than 15 minutes Why See the picture,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_049,Abla Al-Kahlawi has passed away Pray for her mercy,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_028,Real Betis made an offer to sign Egyptian goalkeeper Mohamed El-Shenawy from the Egyptian club Al-Ahly,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_031,The United States agrees to sell Kuwait 4 Apache aircraft for 4 billion dollars I swear if you drop loans to the two Kuwaitis 4 planes are better than them They will protect us for example and their price is high Why did you buy them with American pilots or what Loan drop for day 752,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_021,The death of Rabah Saadane the former coach of the Algerian national team We belong to God and to Him we shall return Our deepest condolences to all brothers in our second homeland Algeria,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_023,Good news for Al-Ahly fans BeIN Sports chooses Ahmed Al-Tayeb to commentate on the Al-Ahly and Al-Duhail match at the opening of the Club World Cup,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_016,Egypt does not want to give a vaccine to its citizens The Gulf countries take care of them Saudi Arabia the Sultanate of Oman Qatar refuses their intervention so there is no one other than Kuwait a country of humanity that receives them and feeds them What is the mysterious secret Kuwait treats Egypt with special treatment,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
