id,claim,label,llama3-1-8B-pred_label,llama3-1-70B-pred_label,llama3-1-405B-pred_label,llama3-1-8B-ev_1,llama3-1-8B-ev_2,llama3-1-8B-ev_3,llama3-1-8B-ev_4,llama3-1-8B-ev_5,llama3-1-70B-ev_1,llama3-1-70B-ev_2,llama3-1-70B-ev_3,llama3-1-70B-ev_4,llama3-1-70B-ev_5,llama3-1-405B-ev_1,llama3-1-405B-ev_2,llama3-1-405B-ev_3,llama3-1-405B-ev_4,llama3-1-405B-ev_5,Predicted Labels Match
AuRED_157,God is Great and praise be to God The release of Sheikh Salman Al-Awda from the deadly prisons of Al-Salool May God hasten the release of the captivity of all his brothers scholars and oppressed oppressed people,REFUTES,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,(-0.9) Statement from Authority Account 'aalodah': ' Salman Al-Awda Conference' ,(-0.9) Statement from Authority Account 'aalodah': ' Alia Al-Hathloul did well in reminding the rest of the detainees especially Islamists like Sheikh Salman Al-Awda in order to ignore his attempt to separate prisoners of conscience based on their attitudes Prisoner of conscience Prisoner of conscience! There is no difference between a liberal opinion and an Islamic opinion aalodah' ,(-0.8) Statement from Authority Account 'aalodah': ' After a thousand and one nights I can finally see the face of my dear sister Loujain but I cannot say that she is free Also I cannot forget that Al-Awda Al-Sadhan Al-Rabiah and others are still subjected to great injustice Life lesson: No right is lost there are demands behind it ' ,(-0.9) Statement from Authority Account 'aalodah': 'The day after tomorrow Friday wait for us moslehun Salman Return Conference ' ,(-0.9) Statement from Authority Account 'aalodah': ' The virtual international conference 'Contemporary Reformers: Salman Al-Awda as a Model' with the participation of a global elite of academics jurists and politicians ️February 12 and 13 2021 Conference program and broadcast links Salman Al-Awda Conference'' ,(-0.8) Statement from Authority Account 'aalodah': ' Salman Al-Awda Conference' ,(0.0) Statement from Authority Account 'aalodah': ' Alia Al-Hathloul did well in reminding the rest of the detainees especially Islamists like Sheikh Salman Al-Awda in order to ignore his attempt to separate prisoners of conscience based on their attitudes Prisoner of conscience Prisoner of conscience! There is no difference between a liberal opinion and an Islamic opinion aalodah' ,(0.8) Statement from Authority Account 'aalodah': ' After a thousand and one nights I can finally see the face of my dear sister Loujain but I cannot say that she is free Also I cannot forget that Al-Awda Al-Sadhan Al-Rabiah and others are still subjected to great injustice Life lesson: No right is lost there are demands behind it ' ,(-0.8) Statement from Authority Account 'aalodah': 'The day after tomorrow Friday wait for us moslehun Salman Return Conference ' ,(0.0) Statement from Authority Account 'aalodah': ' The virtual international conference 'Contemporary Reformers: Salman Al-Awda as a Model' with the participation of a global elite of academics jurists and politicians ️February 12 and 13 2021 Conference program and broadcast links Salman Al-Awda Conference'' ,(-0.8) Statement from Authority Account 'aalodah': ' Salman Al-Awda Conference' ,(0.8) Statement from Authority Account 'aalodah': ' Alia Al-Hathloul did well in reminding the rest of the detainees especially Islamists like Sheikh Salman Al-Awda in order to ignore his attempt to separate prisoners of conscience based on their attitudes Prisoner of conscience Prisoner of conscience! There is no difference between a liberal opinion and an Islamic opinion aalodah' ,(0.0) Statement from Authority Account 'aalodah': ' After a thousand and one nights I can finally see the face of my dear sister Loujain but I cannot say that she is free Also I cannot forget that Al-Awda Al-Sadhan Al-Rabiah and others are still subjected to great injustice Life lesson: No right is lost there are demands behind it ' ,(-0.8) Statement from Authority Account 'aalodah': 'The day after tomorrow Friday wait for us moslehun Salman Return Conference ' ,(0.8) Statement from Authority Account 'aalodah': ' The virtual international conference 'Contemporary Reformers: Salman Al-Awda as a Model' with the participation of a global elite of academics jurists and politicians ️February 12 and 13 2021 Conference program and broadcast links Salman Al-Awda Conference'' ,No
AuRED_158,New innovation Hidden chairs and box in carpets Abdul Wahhab Mosque Doha Qatar,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'AwqafM': 'The Ministry of Awqaf in the State of Qatar confirms that the video circulating of the innovation of the hidden prayer chair (chair + armrest + box) which was implemented by the Ministry in the Imam Muhammad bin Abdul Wahhab Mosque is (incorrect) and is not true Your safety is my safety ' ,,,,,(0.9) Statement from Authority Account 'AwqafM': 'The Ministry of Awqaf in the State of Qatar confirms that the video circulating of the innovation of the hidden prayer chair (chair + armrest + box) which was implemented by the Ministry in the Imam Muhammad bin Abdul Wahhab Mosque is (incorrect) and is not true Your safety is my safety ' ,,,,,(0.9) Statement from Authority Account 'AwqafM': 'The Ministry of Awqaf in the State of Qatar confirms that the video circulating of the innovation of the hidden prayer chair (chair + armrest + box) which was implemented by the Ministry in the Imam Muhammad bin Abdul Wahhab Mosque is (incorrect) and is not true Your safety is my safety ' ,,,,,Yes
AuRED_105,Tunisia offers to help Libya treat those injured in the fuel truck explosion in Bint Biyya Libya Witness for details:,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'NajlaElmangoush': 'I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of BintBey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi ' ,(-0.9) Statement from Authority Account 'Mofa Libya': ' I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of Bint Bey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi 🇱 🇳' ,(-1.0) Statement from Authority Account 'Mofa Libya': '1 2 The Ministry of Foreign Affairs and International Cooperation expresses its deep thanks and gratitude for what the sisterly state of Tunisia announced in its recent statement in which it made use of its Tunisian hospitals and medical staff To help Libyans who were injured in the municipality of Bint Bey following the fuel tanker explosion ' ,,,(-0.9) Statement from Authority Account 'NajlaElmangoush': 'I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of BintBey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi ' ,(-0.9) Statement from Authority Account 'Mofa Libya': ' I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of Bint Bey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi 🇱 🇳' ,(-0.9) Statement from Authority Account 'Mofa Libya': '1 2 The Ministry of Foreign Affairs and International Cooperation expresses its deep thanks and gratitude for what the sisterly state of Tunisia announced in its recent statement in which it made use of its Tunisian hospitals and medical staff To help Libyans who were injured in the municipality of Bint Bey following the fuel tanker explosion ' ,,,(-0.9) Statement from Authority Account 'NajlaElmangoush': 'I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of BintBey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi ' ,(-0.9) Statement from Authority Account 'Mofa Libya': ' I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of Bint Bey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi 🇱 🇳' ,(-0.9) Statement from Authority Account 'Mofa Libya': '1 2 The Ministry of Foreign Affairs and International Cooperation expresses its deep thanks and gratitude for what the sisterly state of Tunisia announced in its recent statement in which it made use of its Tunisian hospitals and medical staff To help Libyans who were injured in the municipality of Bint Bey following the fuel tanker explosion ' ,,,Yes
AuRED_111,The Spanish Casas is the coach of the Iraqi national team,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(0.0) Statement from Authority Account 'IRAQFA': 'Watch the lecture of the technical staff of our national team before facing its Mexican counterpart tomorrow Wednesday ' ,(-1.0) Statement from Authority Account 'IRAQFA': ''The Iraqi Football Federation officially contracted today Sunday with a Spanish coaching staff to lead the national team in the coming period The contract was signed by the president of the federation 'Adnan Darjal ' and the Spanish coach 'Casas ' ' ,(0.0) Statement from Authority Account 'IRAQFA': 'Watch Behind the scenes of the Spanish coaching staff's tour in the capital Baghdad accompanied by the President of the Iraqi Football Association Adnan Darjal ' ,(-0.9) Statement from Authority Account 'IRAQFA': ''Watch the meeting of the President of the Iraqi Football Federation 'Adnan Darjal ' with the Spanish coaching staff led by 'Jesus Casas ' which was held today Saturday at the Federation's headquarters in the presence of Federation member Ghanem Oraibi and the Federation's Secretary-General Muhammad Farhan co rlZ6FmN8l1'' ,(0.0) Statement from Authority Account 'IRAQFA': ''The Spanish coach 'Jose Casas' and his assistant staff Have a good night and have a good rest in Baghdad ' ,(0.0) Statement from Authority Account 'IRAQFA': 'Watch the lecture of the technical staff of our national team before facing its Mexican counterpart tomorrow Wednesday ' ,(-0.9) Statement from Authority Account 'IRAQFA': ''The Iraqi Football Federation officially contracted today Sunday with a Spanish coaching staff to lead the national team in the coming period The contract was signed by the president of the federation 'Adnan Darjal ' and the Spanish coach 'Casas ' ' ,(0.0) Statement from Authority Account 'IRAQFA': 'Watch Behind the scenes of the Spanish coaching staff's tour in the capital Baghdad accompanied by the President of the Iraqi Football Association Adnan Darjal ' ,(-0.8) Statement from Authority Account 'IRAQFA': ''Watch the meeting of the President of the Iraqi Football Federation 'Adnan Darjal ' with the Spanish coaching staff led by 'Jesus Casas ' which was held today Saturday at the Federation's headquarters in the presence of Federation member Ghanem Oraibi and the Federation's Secretary-General Muhammad Farhan co rlZ6FmN8l1'' ,(-0.8) Statement from Authority Account 'IRAQFA': ''The Spanish coach 'Jose Casas' and his assistant staff Have a good night and have a good rest in Baghdad ' ,(0.0) Statement from Authority Account 'IRAQFA': 'Watch the lecture of the technical staff of our national team before facing its Mexican counterpart tomorrow Wednesday ' ,(-0.9) Statement from Authority Account 'IRAQFA': ''The Iraqi Football Federation officially contracted today Sunday with a Spanish coaching staff to lead the national team in the coming period The contract was signed by the president of the federation 'Adnan Darjal ' and the Spanish coach 'Casas ' ' ,(0.0) Statement from Authority Account 'IRAQFA': 'Watch Behind the scenes of the Spanish coaching staff's tour in the capital Baghdad accompanied by the President of the Iraqi Football Association Adnan Darjal ' ,(-0.8) Statement from Authority Account 'IRAQFA': ''Watch the meeting of the President of the Iraqi Football Federation 'Adnan Darjal ' with the Spanish coaching staff led by 'Jesus Casas ' which was held today Saturday at the Federation's headquarters in the presence of Federation member Ghanem Oraibi and the Federation's Secretary-General Muhammad Farhan co rlZ6FmN8l1'' ,(-0.8) Statement from Authority Account 'IRAQFA': ''The Spanish coach 'Jose Casas' and his assistant staff Have a good night and have a good rest in Baghdad ' ,Yes
AuRED_115,A citizen assaults a doctor working in a maternity hospital causing him to bleed in various parts of his body The Medical Association denounces the attack and will take legal measures against the attacker Kuwait Ministry of Health,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'KUWAIT MOH': 'The Ministry of Health denounces the unfortunate attack on a doctor in the maternity hospital stressing that we are following up with the competent authorities in the country the legal procedures that preserve the doctor's right in accordance with what is stated in the Professional Practice Law 70 of 2020 and to preserve and protect all the rights of health personnel in the face of these unacceptable and reprehensible actions ' ,(-0.9) Statement from Authority Account 'KMA 1963': 'The Medical Association denounces the incident of assault against a doctor in the maternity hospital where the doctor was brutally beaten leading to bleeding in various places in the body The Legal Committee of the Association contacted the doctor and his family to check on him and appointed a lawyer to proceed with legal procedures against the attacker ' ,,,,(-0.8) Statement from Authority Account 'KUWAIT MOH': 'The Ministry of Health denounces the unfortunate attack on a doctor in the maternity hospital stressing that we are following up with the competent authorities in the country the legal procedures that preserve the doctor's right in accordance with what is stated in the Professional Practice Law 70 of 2020 and to preserve and protect all the rights of health personnel in the face of these unacceptable and reprehensible actions ' ,(-0.9) Statement from Authority Account 'KMA 1963': 'The Medical Association denounces the incident of assault against a doctor in the maternity hospital where the doctor was brutally beaten leading to bleeding in various places in the body The Legal Committee of the Association contacted the doctor and his family to check on him and appointed a lawyer to proceed with legal procedures against the attacker ' ,,,,(-0.8) Statement from Authority Account 'KUWAIT MOH': 'The Ministry of Health denounces the unfortunate attack on a doctor in the maternity hospital stressing that we are following up with the competent authorities in the country the legal procedures that preserve the doctor's right in accordance with what is stated in the Professional Practice Law 70 of 2020 and to preserve and protect all the rights of health personnel in the face of these unacceptable and reprehensible actions ' ,(-0.9) Statement from Authority Account 'KMA 1963': 'The Medical Association denounces the incident of assault against a doctor in the maternity hospital where the doctor was brutally beaten leading to bleeding in various places in the body The Legal Committee of the Association contacted the doctor and his family to check on him and appointed a lawyer to proceed with legal procedures against the attacker ' ,,,,Yes
AuRED_118,There is no power nor strength except with God Say 'Nothing will happen to us except what God has decreed for us ' It was confirmed that Akram Tawfiq suffered a cruciate ligament tear The injury may deprive us of a fighter from a Mufusa fighter,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'AlAhly': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear ' ,(0.0) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater: Al-Ahly players and fans were keen to support Akram Tawfiq before the start of the Smouha match by raising his shirt The Big House Alahlytv ' ,(0.0) Statement from Authority Account 'AlAhlyTV': 'Amira Farraj X-rays prove that Akram Tawfiq was injured by a cruciate ligament tear and the player will fly to Austria in the coming days YouTube Al-Harifa Alahlytv ' ,(0.0) Statement from Authority Account 'AlAhlyTV': 'Al-Ahly fans support Akram Tawfiq after his injury YouTube 10morning in AlAhly Alahlytv ' ,(0.0) Statement from Authority Account 'AlAhlyTV': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear and the player will fly to Austria in the coming days to undergo surgery Support Akram Tawfiq Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhly': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear ' ,(-0.8) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater: Al-Ahly players and fans were keen to support Akram Tawfiq before the start of the Smouha match by raising his shirt The Big House Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhlyTV': 'Amira Farraj X-rays prove that Akram Tawfiq was injured by a cruciate ligament tear and the player will fly to Austria in the coming days YouTube Al-Harifa Alahlytv ' ,(-0.8) Statement from Authority Account 'AlAhlyTV': 'Al-Ahly fans support Akram Tawfiq after his injury YouTube 10morning in AlAhly Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhlyTV': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear and the player will fly to Austria in the coming days to undergo surgery Support Akram Tawfiq Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhly': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear ' ,(0.8) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater: Al-Ahly players and fans were keen to support Akram Tawfiq before the start of the Smouha match by raising his shirt The Big House Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhlyTV': 'Amira Farraj X-rays prove that Akram Tawfiq was injured by a cruciate ligament tear and the player will fly to Austria in the coming days YouTube Al-Harifa Alahlytv ' ,(-0.8) Statement from Authority Account 'AlAhlyTV': 'Al-Ahly fans support Akram Tawfiq after his injury YouTube 10morning in AlAhly Alahlytv ' ,(-0.9) Statement from Authority Account 'AlAhlyTV': 'X-rays prove that Akram Tawfiq suffered a cruciate ligament tear and the player will fly to Austria in the coming days to undergo surgery Support Akram Tawfiq Alahlytv ' ,Yes
AuRED_124,Saudi Arabia bears the costs of electronic services for the Haya visa for the World Cup in Qatar,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,SUPPORTS,(-1.0) Statement from Authority Account 'KSAMOFA': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event ' ,(-0.9) Statement from Authority Account 'spagov': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event SPA ' ,,,,(0.9) Statement from Authority Account 'KSAMOFA': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event ' ,(-0.9) Statement from Authority Account 'spagov': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event SPA ' ,,,,(-0.9) Statement from Authority Account 'KSAMOFA': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event ' ,(-0.9) Statement from Authority Account 'spagov': ' Cabinet: Approval for the state to bear the costs of electronic services - related to the electronic visa services platform at the Ministry of Foreign Affairs - that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card (Haya) for the Qatar 2022 World Cup event SPA ' ,,,,No
AuRED_129,The death of former Al-Nasr star Yasser Al-Moussa after suffering from illness - may God have mercy on him - Death of Al-Nasr player Yasser Al-Moussa,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(-1.0) Statement: 'The Board of Directors of Al-Nasr Club offers condolences on the death of former Al-Nasr player Captain Yasser Al-Mousa ' ,,,,,(-0.9) Statement: 'The Board of Directors of Al-Nasr Club offers condolences on the death of former Al-Nasr player Captain Yasser Al-Mousa ' ,,,,,(-0.9) Statement: 'The Board of Directors of Al-Nasr Club offers condolences on the death of former Al-Nasr player Captain Yasser Al-Mousa ' ,,,,,Yes
AuRED_004,Turkish demonstrators attack the Kuwaiti Turkish Bank in Istanbul after the collapse of the Turkish lira as I received,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_006,Qais Saeed 'From now on if clerics interfere in politics I will fill the prisons with them ' Long live the belly that carried you man in a time of men's decline,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_009,Erdogan: My problems with Sisi were due to a misunderstanding and I *seek* to fix it Al Jazeera Channel,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_015,The Guardian' warns of the outbreak of a deadly virus in China called 'Nipah',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_022,Proudly made in Egypt Rami Al-Subaie the first Egyptian and the first Arab to win Mr Olympia in history Congratulations to Egypt and the Arabs Big Rami,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_032,ElBaradei speaks again: Egypt's possession of nuclear weapons at the Dabaa station is a clear violation of international standards and must be stopped,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_057,'The Saudi swimmer 'Ahmed Jibril' ranked 47th in the Olympics out of 47 participants It's good that he didn't drown too \n\n No Oh God ',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_078,The World Health Organization calls for stopping the granting of the second dose of Corona vaccines until next September which will allow the first dose of the vaccine to be delivered to the groups that need it most in the world,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_091,Tunisia refuses to open border crossings with Libya on August 8 2020 due to Libya entering the fourth stage of the spread of the epidemic,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,,,,,,Yes
AuRED_012,️ ️ *Urgent* *United States: The Supreme Court abolishes mass vaccination - a scandal 3 weeks ago* A great victory for freedom the Supreme Court abolished mass vaccination,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'USAbilAraby': 'President Biden welcomed the historic commitment of G7 leaders and invited countries to provide more than a billion additional COVID-19 vaccine doses to the world starting this summer with the United States contributing half a billion doses ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' President Biden has taken action to use the power of our democracy the ingenuity of American scientists and the power of American manufacturing to defeat the pandemic globally by helping vaccinate the world ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' President Joe Biden: 'We want to lead the world with our values ​​that demonstrate our innovation creativity and core morals as an American people These vaccines will contribute to ending the pandemic everywhere ' ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating 500 million COVID-19 vaccines to low-income countries around the world By confronting the unprecedented crisis President Joe Biden underscores what American leadership means about saving lives and never shying away from solving the world's greatest challenges ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating half a billion doses of the Pfizer vaccine to low-income countries around the world This is the largest purchase and donation of vaccines ever made by a single country and our efforts to save lives will not stop there ' ,(0.9) Statement from Authority Account 'USAbilAraby': 'President Biden welcomed the historic commitment of G7 leaders and invited countries to provide more than a billion additional COVID-19 vaccine doses to the world starting this summer with the United States contributing half a billion doses ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' President Biden has taken action to use the power of our democracy the ingenuity of American scientists and the power of American manufacturing to defeat the pandemic globally by helping vaccinate the world ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' President Joe Biden: 'We want to lead the world with our values ​​that demonstrate our innovation creativity and core morals as an American people These vaccines will contribute to ending the pandemic everywhere ' ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating 500 million COVID-19 vaccines to low-income countries around the world By confronting the unprecedented crisis President Joe Biden underscores what American leadership means about saving lives and never shying away from solving the world's greatest challenges ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating half a billion doses of the Pfizer vaccine to low-income countries around the world This is the largest purchase and donation of vaccines ever made by a single country and our efforts to save lives will not stop there ' ,(0.9) Statement from Authority Account 'USAbilAraby': 'President Biden welcomed the historic commitment of G7 leaders and invited countries to provide more than a billion additional COVID-19 vaccine doses to the world starting this summer with the United States contributing half a billion doses ' ,(0.8) Statement from Authority Account 'USAbilAraby': ' President Biden has taken action to use the power of our democracy the ingenuity of American scientists and the power of American manufacturing to defeat the pandemic globally by helping vaccinate the world ' ,(0.8) Statement from Authority Account 'USAbilAraby': ' President Joe Biden: 'We want to lead the world with our values ​​that demonstrate our innovation creativity and core morals as an American people These vaccines will contribute to ending the pandemic everywhere ' ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating 500 million COVID-19 vaccines to low-income countries around the world By confronting the unprecedented crisis President Joe Biden underscores what American leadership means about saving lives and never shying away from solving the world's greatest challenges ' ,(0.9) Statement from Authority Account 'USAbilAraby': ' The United States is donating half a billion doses of the Pfizer vaccine to low-income countries around the world This is the largest purchase and donation of vaccines ever made by a single country and our efforts to save lives will not stop there ' ,Yes
AuRED_094,A box from MP Salman Al-Hulaila to his colleague Hisham Al-Saleh during the MPs' quarrel in the budget session Nation Council,REFUTES,SUPPORTS,REFUTES,REFUTES,(0.8) Statement from Authority Account 'dr hesham law': ' Representative Hisham Al-Saleh: A cheap attempt to distort through an unreal image in which Photoshop was used There is no friction with fellow MPs This is part of the blatant media quackery practiced against us and this is the best evidence and witness to the falsification of reality ' ,(-0.9) Statement from Authority Account 'dr hesham law': 'Note: The image is photoshop not a real image and there is no friction and a cheap attempt at distortion' ,(-0.9) Statement from Authority Account 'dr hesham law': 'Note: Brothers the picture is photoshop and not real This is part of the media quackery that is being practiced and this is the best evidence and witness to the falsification of reality ' ,(-0.8) Statement from Authority Account 'dr hesham law': 'The picture suggests an unreal snapshot of reality While I prevented contact between representatives no direct contact occurred between them thanks to our intervention and others In any case I am against obscenity vulgarity and indecency in the Council and we are concerned with everyone's safety and preventing them from coming into contact with the latter A photo of a lunch that brings me together with my friend Salman Al-Halila ou92XRjebS' ,,(0.9) Statement from Authority Account 'dr hesham law': ' Representative Hisham Al-Saleh: A cheap attempt to distort through an unreal image in which Photoshop was used There is no friction with fellow MPs This is part of the blatant media quackery practiced against us and this is the best evidence and witness to the falsification of reality ' ,(0.9) Statement from Authority Account 'dr hesham law': 'Note: The image is photoshop not a real image and there is no friction and a cheap attempt at distortion' ,(0.9) Statement from Authority Account 'dr hesham law': 'Note: Brothers the picture is photoshop and not real This is part of the media quackery that is being practiced and this is the best evidence and witness to the falsification of reality ' ,(0.9) Statement from Authority Account 'dr hesham law': 'The picture suggests an unreal snapshot of reality While I prevented contact between representatives no direct contact occurred between them thanks to our intervention and others In any case I am against obscenity vulgarity and indecency in the Council and we are concerned with everyone's safety and preventing them from coming into contact with the latter A photo of a lunch that brings me together with my friend Salman Al-Halila ou92XRjebS' ,,(0.9) Statement from Authority Account 'dr hesham law': ' Representative Hisham Al-Saleh: A cheap attempt to distort through an unreal image in which Photoshop was used There is no friction with fellow MPs This is part of the blatant media quackery practiced against us and this is the best evidence and witness to the falsification of reality ' ,(0.8) Statement from Authority Account 'dr hesham law': 'Note: The image is photoshop not a real image and there is no friction and a cheap attempt at distortion' ,(0.9) Statement from Authority Account 'dr hesham law': 'Note: Brothers the picture is photoshop and not real This is part of the media quackery that is being practiced and this is the best evidence and witness to the falsification of reality ' ,(0.8) Statement from Authority Account 'dr hesham law': 'The picture suggests an unreal snapshot of reality While I prevented contact between representatives no direct contact occurred between them thanks to our intervention and others In any case I am against obscenity vulgarity and indecency in the Council and we are concerned with everyone's safety and preventing them from coming into contact with the latter A photo of a lunch that brings me together with my friend Salman Al-Halila ou92XRjebS' ,,No
AuRED_097,Officially: Issam Chawali is commentating on the Champions League final,REFUTES,REFUTES,REFUTES,REFUTES,(1.0) Statement from Authority Account 'beINSPORTS': ' Don't miss watching the Champions League Final Studio: Presented by Hisham Al-Khalisi accompanied by a group of our channel analysts ️ Hafeez Draghi's commentary on beIN SPORTS 1 PREMIUM ️ Khalil Al-Balushi's commentary on beIN SPORTS 2 PREMIUM 20:30 Mecca time European Champions League Liver Paul RealMadrid ' ,,,,,(0.9) Statement from Authority Account 'beINSPORTS': ' Don't miss watching the Champions League Final Studio: Presented by Hisham Al-Khalisi accompanied by a group of our channel analysts ️ Hafeez Draghi's commentary on beIN SPORTS 1 PREMIUM ️ Khalil Al-Balushi's commentary on beIN SPORTS 2 PREMIUM 20:30 Mecca time European Champions League Liver Paul RealMadrid ' ,,,,,(0.8) Statement from Authority Account 'beINSPORTS': ' Don't miss watching the Champions League Final Studio: Presented by Hisham Al-Khalisi accompanied by a group of our channel analysts ️ Hafeez Draghi's commentary on beIN SPORTS 1 PREMIUM ️ Khalil Al-Balushi's commentary on beIN SPORTS 2 PREMIUM 20:30 Mecca time European Champions League Liver Paul RealMadrid ' ,,,,,Yes
