id,claim,label,openai-4o-mini-pred_label,openai-4o-pred_label,openai-4o-mini-ev_1,openai-4o-mini-ev_2,openai-4o-mini-ev_3,openai-4o-mini-ev_4,openai-4o-mini-ev_5,openai-4o-ev_1,openai-4o-ev_2,openai-4o-ev_3,openai-4o-ev_4,openai-4o-ev_5,Predicted Labels Match
AuRED_086,Al-Ittihad Raid I League Urgently the administration of the Corona vaccine has stopped urgently in the Kingdom of Saudi Arabia There is no power or strength from God Five people died after taking the vaccine n,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'spokesman moh': 'Praise be to God everyone who took the Corona vaccine is healthy and well and no unexpected symptoms appeared in everyone who received the vaccine We invite everyone to register on the Sehaty app to get the vaccine Contact SaudiMOH937 for any inquiries take information from its official sources and do not be led by rumours ' ,(0.9) Statement from Authority Account 'Saudi PHA': ' Praise be to God the second Corona (Covid-19) vaccine center has been launched in the Kingdom in Jeddah Governorate Soon God willing vaccine centers will be launched in all regions of the Kingdom I invite everyone to register on the Sihati app to get the vaccine ' ,(0.9) Statement from Authority Account 'Saudi PHA': ' Important information provided by experts at the scientific conference on the mutation of the new Coronavirus Government Communication ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Highlights of the scientific conference on mutations of the Coronavirus (Covid-19) Tuesday December 22 2020 AD ' ,(0.9) Statement from Authority Account 'Saudi PHA': 'Safety and effectiveness of the new Corona vaccine (Covid-19) ' ,(0.9) Statement from Authority Account 'spokesman moh': 'Praise be to God everyone who took the Corona vaccine is healthy and well and no unexpected symptoms appeared in everyone who received the vaccine We invite everyone to register on the Sehaty app to get the vaccine Contact SaudiMOH937 for any inquiries take information from its official sources and do not be led by rumours ' ,(0.9) Statement from Authority Account 'Saudi PHA': ' Praise be to God the second Corona (Covid-19) vaccine center has been launched in the Kingdom in Jeddah Governorate Soon God willing vaccine centers will be launched in all regions of the Kingdom I invite everyone to register on the Sihati app to get the vaccine ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Important information provided by experts at the scientific conference on the mutation of the new Coronavirus Government Communication ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Highlights of the scientific conference on mutations of the Coronavirus (Covid-19) Tuesday December 22 2020 AD ' ,(0.9) Statement from Authority Account 'Saudi PHA': 'Safety and effectiveness of the new Corona vaccine (Covid-19) ' ,Yes
AuRED_160,Hoda Al-Sarari passed away as a result of a traffic accident in Spain,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'Elsrari': 'My loved ones and my people who were busy with me: I am fine and thank you from the heart to everyone who wished me safety I was not able to respond to your messages and calls at that moment because I was in the seventh dream because we are going to sleep early I will send you all a rose in the style of our poet Ali Sedqi Abdel Qader Not good news For those who want us to die: it is still sitting on your hearts ' ,,,,,(0.9) Statement from Authority Account 'Elsrari': 'My loved ones and my people who were busy with me: I am fine and thank you from the heart to everyone who wished me safety I was not able to respond to your messages and calls at that moment because I was in the seventh dream because we are going to sleep early I will send you all a rose in the style of our poet Ali Sedqi Abdel Qader Not good news For those who want us to die: it is still sitting on your hearts ' ,,,,,Yes
AuRED_064,Today the Turkish Minister of Defense visited Tripoli without coordination with the new Libyan government He was received by the Turkish ambassador and Turkish army officers and he held a meeting with Turkish leaders at the Mitiga base He did not meet any Libyan government or presidential official and he left Libya I believe This is called official occupation He must be compensated,REFUTES,REFUTES,REFUTES,(0.0) Statement from Authority Account 'GovernmentLY': 'The Prime Minister of the National Unity Government meets a high-level Turkish delegation ' ,(0.9) Statement from Authority Account 'MFATurkiyeAR': ' A high-ranking Turkish delegation visits Libya and Cavusoglu meets his Libyan counterpart in Tripoli ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': 'Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'TrablusBe': ' Press release about the visit to Libya ' ,(0.9) Statement from Authority Account 'NajWheba': '1 3 Chairman of the Presidential Council Dr Muhammad Al-Manfi LPCLYM met today with a high-level Turkish delegation headed by the Turkish Foreign Minister MevlutCavusoglu who conveyed the greetings of the President of the Turkish Republic Mr Recep Tayyip Erdogan to the President of the Presidential Council stressing his country's support for the stability and unity of Libya ' ,(0.8) Statement from Authority Account 'GovernmentLY': 'The Prime Minister of the National Unity Government meets a high-level Turkish delegation ' ,(0.8) Statement from Authority Account 'MFATurkiyeAR': ' A high-ranking Turkish delegation visits Libya and Cavusoglu meets his Libyan counterpart in Tripoli ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': 'Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'TrablusBe': ' Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'NajWheba': '1 3 Chairman of the Presidential Council Dr Muhammad Al-Manfi LPCLYM met today with a high-level Turkish delegation headed by the Turkish Foreign Minister MevlutCavusoglu who conveyed the greetings of the President of the Turkish Republic Mr Recep Tayyip Erdogan to the President of the Presidential Council stressing his country's support for the stability and unity of Libya ' ,Yes
AuRED_127,Congratulations to Algeria on this award Today Algeria was well-deservedly elected as a member of the United Nations Human Rights Council for the period 2023-2025 This is in recognition of its role as a pivotal country in the region and its interest in promoting the principles and values ​​of human rights in the world,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'Algeria MFA': 'Algeria was elected as a member of the UN Human Rights Council for the period 2023-2025 in recognition of its role as a pivotal country in the region and its interest in promoting the principles and values ​​of human rights in the world Algeria won 178 votes in these elections which took place in New York during the 17th plenary session of the United Nations General Assembly ' ,,,,,(-0.9) Statement from Authority Account 'Algeria MFA': 'Algeria was elected as a member of the UN Human Rights Council for the period 2023-2025 in recognition of its role as a pivotal country in the region and its interest in promoting the principles and values ​​of human rights in the world Algeria won 178 votes in these elections which took place in New York during the 17th plenary session of the United Nations General Assembly ' ,,,,,Yes
AuRED_106,Riyad Mahrez is among the candidates to win the Ballon d'Or!,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'LesVerts ': 'National team star Riyad Mahrez is on the list of candidates for the International Ballon d'Or award Wish good luck to Riyad ' ,,,,,(-0.9) Statement from Authority Account 'LesVerts ': 'National team star Riyad Mahrez is on the list of candidates for the International Ballon d'Or award Wish good luck to Riyad ' ,,,,,Yes
AuRED_109,Qatar hosts the 2024 World Endurance Racing Championship,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'KBKAlThani': 'Today we celebrated the signing of the State of Qatar's hosting of the 2024 World Endurance Racing Championship between the Qatar Automobile and Motorcycle Federation and the Le Mans Endurance Championship Company Our best wishes for the championship that will be held for the first time in Qatar ' ,,,,,(-0.9) Statement from Authority Account 'KBKAlThani': 'Today we celebrated the signing of the State of Qatar's hosting of the 2024 World Endurance Racing Championship between the Qatar Automobile and Motorcycle Federation and the Le Mans Endurance Championship Company Our best wishes for the championship that will be held for the first time in Qatar ' ,,,,,Yes
AuRED_108,Qatar dispenses with 'Al-Annabi' coach,SUPPORTS,SUPPORTS,SUPPORTS,(0.0) Statement from Authority Account 'QFA': 'Wonderful years with many amazing moments which will remain immortalized in the history of Qatari football forever ️ Thank you for everything Sanchez! ' ,(-0.9) Statement from Authority Account 'QFA': 'The Qatar Football Association and Spain's Felix Sanchez decide not to extend the contract concluded between the two parties Al-Ittihad expresses its sincere gratitude to the coach wishing him all the best ' ,,,,(-0.9) Statement from Authority Account 'QFA': 'Wonderful years with many amazing moments which will remain immortalized in the history of Qatari football forever ️ Thank you for everything Sanchez! ' ,(-0.9) Statement from Authority Account 'QFA': 'The Qatar Football Association and Spain's Felix Sanchez decide not to extend the contract concluded between the two parties Al-Ittihad expresses its sincere gratitude to the coach wishing him all the best ' ,,,,Yes
AuRED_104,Urgent: Libya announces the opening of new corridors with Tunisia,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'Dabaibahamid': 'Opening new corridors with sister Tunisia at the Ras Jdir crossing to facilitate the crossing of citizens from both countries Libya Return to life We will not let you The bear ' ,,,,,(-0.9) Statement from Authority Account 'Dabaibahamid': 'Opening new corridors with sister Tunisia at the Ras Jdir crossing to facilitate the crossing of citizens from both countries Libya Return to life We will not let you The bear ' ,,,,,Yes
AuRED_100,The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics Kingdom of Saudi Arabia Salman Electronic Army,SUPPORTS,SUPPORTS,SUPPORTS,(0.9) Statement: 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics ' ,(-0.9) Statement from Authority Account 'FahadAlJalajel ': ''The Kingdom's support for the Financial Intermediation Fund for Health Security (Pandemic Fund) comes as an extension of its efforts to support the international community to protect millions of people from the dangers of epidemics and to prepare for and respond to them It also confirms that attention to 'human health' represents one of the most important priorities of the Kingdom's government G20 '' ,(-0.9) Statement from Authority Account 'spagov ': 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics SPA ' ,,,(0.0) Statement: 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics ' ,(0.0) Statement from Authority Account 'FahadAlJalajel ': ''The Kingdom's support for the Financial Intermediation Fund for Health Security (Pandemic Fund) comes as an extension of its efforts to support the international community to protect millions of people from the dangers of epidemics and to prepare for and respond to them It also confirms that attention to 'human health' represents one of the most important priorities of the Kingdom's government G20 '' ,(-0.9) Statement from Authority Account 'spagov ': 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics SPA ' ,,,Yes
AuRED_045,'Cuba announces the success of its vaccine 'Abdullah ' at a rate of 92%! The whole world is talking today about Cuba's announcement of the success of its vaccine which it called 'Abdullah ' at a rate of 92 28% and with three doses against Corona as it will begin vaccination with it as of the first From next July while the State of Venezuela announced its official adoption ',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_025,Torres Gomez member of the Board of Directors of Real Madrid: The Egyptian Al-Ahly Club precedes Real Madrid in the number of continental championships during the current century We now have a strong competitor for the number of titles,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_026,' Forcing the legend Cristiano to wear the gay support badge tonight in front of the French national team [SkySport] *But* the Don had his say as usual Breaking news from BBC 'Ronaldo refused to wear the gay badge and said I am ready to receive any punishment ' CC to the rest Clubs ',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_088,Algeria rejects public normalization and prefers it to be secret: Heavy-type bomb: An Air Algerie plane lands at an Israeli airport The Palestinian photographer was shocked,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_053,The French club Paris Saint-Germain achieved fantastic profits approaching 100 million euros from selling more than 800 000 shirts bearing the name of the Argentine star Lionel Messi since they were put up for sale on Wednesday that is in just one week,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_046,The Algerian medical delegation that was sent to Lebanon had its members placed in quarantine after one of them was discovered to be infected with the Coronavirus Algeria,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_059,Urgent ️ ️ ️ ️ Hafeez Draghi was expelled from beIN Sports channels \ derradjihafid How true is this news,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_033,After his appointment as Vice-President of the Qatari Constitutional Assembly President Kais Saeed takes the oath before Her Highness Sheikha Moza Al-Misnad in the capital of Qatar Doha,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_001,'Musa Abu Marzouq Al-Hamsawi congratulates the Taliban on their victory in Afghanistan and is considered a representative of the Iranian mullahs - The picture is from the meeting of the terrorists a delegation from the Taliban with Haniyeh last night It took place in the Qatar booth 'the financier of the terrorist organization' May God Save Egypt Rnd14ZXv6C',NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_039,Jerusalem The Eternal Capital of Palestine Canada says Jerusalem is the capital of Palestine One of the two things: whether you bring Canada to rule us or we go and never come back,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
AuRED_003,Under the directives of Haitham bin Tariq Al Said Sultan of Oman the Sultanate of Oman recalled its ambassador to Doha today and called on Qatar to stop its destabilizing and security activities The move reflects solidarity with the Kingdom of Saudi Arabia which severed relations with Qatar in mid-2017 in addition to the UAE,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,,,,,,,,,,,Yes
